Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 5108,https://www.congress.gov/bill/118th-congress/house-bill/5108,118th Congress (2023-2024),"To abolish the United States Agency for International Development, and for other purposes.",,"Gaetz, Matt [Rep.-R-FL-1]",8/1/23,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Appropriations, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8/1/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 702,https://www.congress.gov/bill/118th-congress/house-resolution/702,118th Congress (2023-2024),Recognizing the duty of the Federal Government to protect the rights of restaurant workers.,,"Tlaib, Rashida [Rep.-D-MI-12]",9/19/23,"Referred to the Subcommittee on Nutrition, Foreign Agriculture, and Horticulture.",9/26/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3078,https://www.congress.gov/bill/118th-congress/house-bill/3078,118th Congress (2023-2024),Sunlight in Workplace Harassment Act,,"Williams, Nikema [Rep.-D-GA-5]",5/2/23,Referred to the House Committee on Financial Services.,5/2/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2690,https://www.congress.gov/bill/118th-congress/house-bill/2690,118th Congress (2023-2024),Ending PUSHOUT Act of 2023,,"Pressley, Ayanna [Rep.-D-MA-7]",4/18/23,Referred to the House Committee on Education and the Workforce.,4/18/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1630,https://www.congress.gov/bill/118th-congress/house-bill/1630,118th Congress (2023-2024),PROSPECT Act,,"Hayes, Jahana [Rep.-D-CT-5]",3/17/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3/17/23,Families,Child care and development,Congressional oversight,Disability and health-based discrimination,Disability and paralysis,Educational facilities and institutions,Elementary and secondary education,Employee hiring,Family services,Foreign language and bilingual programs,Government information and archives,Higher education,Performance measurement,Racial and ethnic relations,"Sex, gender, sexual orientation discrimination",State and local finance,Student aid and college costs,"Teaching, teachers, curricula",User charges and fees,Wages and earnings,Adult education and literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3278,https://www.congress.gov/bill/118th-congress/house-bill/3278,118th Congress (2023-2024),WARRIOR Act,,"Waltz, Michael [Rep.-R-FL-6]",5/11/23,"Referred to the Committee on Armed Services, and in addition to the Committee on Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5/11/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5579,https://www.congress.gov/bill/118th-congress/house-bill/5579,118th Congress (2023-2024),Preserve Military Recognition Act of 2023,,"Steube, W. Gregory [Rep.-R-FL-17]",9/19/23,Referred to the House Committee on Armed Services.,9/19/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4172,https://www.congress.gov/bill/118th-congress/house-bill/4172,118th Congress (2023-2024),Hate Crimes Commission Act of 2023,,"Krishnamoorthi, Raja [Rep.-D-IL-8]",6/15/23,Referred to the House Committee on the Judiciary.,6/15/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3680,https://www.congress.gov/bill/118th-congress/house-bill/3680,118th Congress (2023-2024),Stop Mental Health Stigma in Our Communities Act,,"Chu, Judy [Rep.-D-CA-28]",5/25/23,Referred to the Subcommittee on Health.,5/26/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 548,https://www.congress.gov/bill/118th-congress/house-resolution/548,118th Congress (2023-2024),Encouraging the Government of Sierra Leone to abide by their promise to a peaceful and credible electoral process.,,"Allred, Colin Z. [Rep.-D-TX-32]",6/23/23,Referred to the House Committee on Foreign Affairs.,6/23/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4948,https://www.congress.gov/bill/118th-congress/house-bill/4948,118th Congress (2023-2024),College Athlete Economic Freedom Act,,"Trahan, Lori [Rep.-D-MA-3]",7/26/23,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",7/26/23,Sports and Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4347,https://www.congress.gov/bill/118th-congress/house-bill/4347,118th Congress (2023-2024),Mass Shooter Prosecution Act of 2023,,"Moulton, Seth [Rep.-D-MA-6]",6/23/23,Referred to the House Committee on the Judiciary.,6/23/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Con.Res. 72,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/72,118th Congress (2023-2024),Recognizing the significance of equal pay and the disparity in wages paid to Latina women in comparison to men.,,"Leger Fernandez, Teresa [Rep.-D-NM-3]",10/6/23,Referred to the House Committee on Education and the Workforce.,10/25/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 64,https://www.congress.gov/bill/118th-congress/house-bill/64,118th Congress (2023-2024),David’s Law,,"Jackson Lee, Sheila [Rep.-D-TX-18]",1/9/23,Referred to the House Committee on the Judiciary.,1/9/23,Law enforcement officers,Violent crime,Law enforcement administration and funding,Juvenile crime and gang violence,Hate crimes,"Government employee pay, benefits, personnel management",Fires,Firearms and explosives,Department of the Treasury,Department of Justice,Criminal procedure and sentencing,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Con.Res. 68,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/68,118th Congress (2023-2024),"Expressing support for the recognition of September 26, 2023, as ""World Contraception Day"" and expressing the sense of the House of Representatives regarding global and domestic access to contraception.",,"Velazquez, Nydia M. [Rep.-D-NY-7]",9/26/23,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",9/26/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Con.Res. 54,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/54,118th Congress (2023-2024),"Expressing the sense of Congress that title IX of the Education Amendments of 1972 applies to the National Collegiate Athletics Association (NCAA), and the National Collegiate Athletics Association (NCAA) should work to prevent discrimination on the basis of sex in its programs and activities.",,"Sherrill, Mikie [Rep.-D-NJ-11]",6/23/23,Referred to the House Committee on Education and the Workforce.,6/23/23,Sports and Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4624,https://www.congress.gov/bill/118th-congress/house-bill/4624,118th Congress (2023-2024),Algorithmic Justice and Online Platform Transparency Act,,"Matsui, Doris O. [Rep.-D-CA-7]",7/13/23,Referred to the Subcommittee on Communications and Technology.,7/14/23,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3131,https://www.congress.gov/bill/118th-congress/house-bill/3131,118th Congress (2023-2024),To prohibit the use of funds to seek membership in the World Health Organization or to provide assessed or voluntary contributions to the World Health Organization.,,"Arrington, Jodey C. [Rep.-R-TX-19]",5/9/23,Referred to the House Committee on Foreign Affairs.,5/9/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 827,https://www.congress.gov/bill/118th-congress/house-resolution/827,118th Congress (2023-2024),"Expressing the sense of the House of Representatives regarding the relationships between firearm violence, misogyny, and violence against women, and reaffirming the importance of preventing individuals with a history of violence against women from accessing a firearm.",,"Moore, Gwen [Rep.-D-WI-4]",10/30/23,Referred to the House Committee on the Judiciary.,10/30/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6135,https://www.congress.gov/bill/118th-congress/house-bill/6135,118th Congress (2023-2024),Stop Sexual Harassment in K–12 Act,,"Casten, Sean [Rep.-D-IL-6]",11/1/23,Referred to the House Committee on Education and the Workforce.,11/1/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 445,https://www.congress.gov/bill/118th-congress/house-resolution/445,118th Congress (2023-2024),Calling on the Senate to ratify the Convention on the Elimination of All Forms of Discrimination Against Women.,,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",5/25/23,Referred to the House Committee on Foreign Affairs.,5/25/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4699,https://www.congress.gov/bill/118th-congress/house-bill/4699,118th Congress (2023-2024),The People’s Response Act,,"Bush, Cori [Rep.-D-MO-1]",7/18/23,Referred to the Subcommittee on Health.,7/21/23,Crime and Law Enforcement,Health programs administration and funding,Homelessness and emergency shelter,Housing and community development funding,Housing supply and affordability,Immigration status and procedures,Infectious and parasitic diseases,Infrastructure development,Intergovernmental relations,Law enforcement administration and funding,Mental health,Nutrition and diet,"Parks, recreation areas, trails",Public transit,Racial and ethnic relations,Sex offenses,"Sex, gender, sexual orientation discrimination","Social work, volunteer service, charitable organizations",Telephone and wireless communication,Violent crime,Wages and earnings,Accounting and auditing,Advisory bodies,Agricultural marketing and promotion,Child health,Child safety and welfare,Community life and organization,Congressional oversight,Crime prevention,Crime victims,"Criminal investigation, prosecution, interrogation",Department of Health and Human Services,Detention of persons,Disability and health-based discrimination,Domestic violence and child abuse,"Drug, alcohol, tobacco use",Education programs funding,Elementary and secondary education,Emergency communications systems,Emergency medical services and trauma care,Employee hiring,Employment and training programs,Environmental health,Evidence and witnesses,Executive agency funding and structure,Family services,First responders and emergency personnel,Food industry and services,Government studies and investigations,Hazardous wastes and toxic substances,Health care coverage and access,Health personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 555,https://www.congress.gov/bill/118th-congress/house-resolution/555,118th Congress (2023-2024),Recognizing the importance of intersectionality for abortion access.,,"Watson Coleman, Bonnie [Rep.-D-NJ-12]",6/23/23,Referred to the Subcommittee on Health.,6/29/23,"Civil Rights and Liberties, Minority Issues",Abortion,Sex and reproductive health,Racial and ethnic relations,Women's health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1744,https://www.congress.gov/bill/118th-congress/house-bill/1744,118th Congress (2023-2024),Transparency in Government Contracts Act,,"Castro, Joaquin [Rep.-D-TX-20]",3/23/23,Referred to the House Committee on Small Business.,3/23/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4884,https://www.congress.gov/bill/118th-congress/house-bill/4884,118th Congress (2023-2024),Mental Health for Latinos Act of 2023,,"Napolitano, Grace F. [Rep.-D-CA-31]",7/25/23,Referred to the House Committee on Energy and Commerce.,7/25/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3961,https://www.congress.gov/bill/118th-congress/house-bill/3961,118th Congress (2023-2024),Green Climate Fund Authorization Act of 2023,,"Espaillat, Adriano [Rep.-D-NY-13]",6/9/23,Referred to the House Committee on Foreign Affairs.,6/9/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3870,https://www.congress.gov/bill/118th-congress/house-bill/3870,118th Congress (2023-2024),Food Security for All Veterans Act,,"Peltola, Mary Sattler [Rep.-D-AK-At Large]",6/6/23,Referred to the Subcommittee on Economic Opportunity.,7/10/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1616,https://www.congress.gov/bill/118th-congress/house-bill/1616,118th Congress (2023-2024),CARE for Long COVID Act,,"Beyer, Donald S., Jr. [Rep.-D-VA-8]",3/17/23,Referred to the Subcommittee on Health.,3/24/23,Health,Cardiovascular and respiratory health,Congressional oversight,Disability and paralysis,Disability assistance,Elementary and secondary education,Employment discrimination and employee rights,Government information and archives,Government studies and investigations,Health care coverage and access,Health information and medical records,Health promotion and preventive care,Infectious and parasitic diseases,Lawyers and legal services,Medical education,Medical research,Medical tests and diagnostic methods,Poverty and welfare assistance,Research administration and funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4578,https://www.congress.gov/bill/118th-congress/house-bill/4578,118th Congress (2023-2024),Workforce Investment Disclosure Act of 2023,,"Garcia, Sylvia R. [Rep.-D-TX-29]",7/12/23,Referred to the House Committee on Financial Services.,7/12/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 219,https://www.congress.gov/bill/118th-congress/house-resolution/219,118th Congress (2023-2024),"Expressing support for developing supportive, inclusive, safe, and responsive public schools that provide all students with a well-rounded education and prepare all students for success in life and for the exercise of their social and economic rights, fostering parental involvement in education in a manner that builds partnerships and trust between parents and educators, and protecting the civil rights of students and families.",,"Bonamici, Suzanne [Rep.-D-OR-1]",3/10/23,Referred to the House Committee on Education and the Workforce.,3/10/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1708,https://www.congress.gov/bill/118th-congress/house-bill/1708,118th Congress (2023-2024),Housing Is a Human Right Act of 2023,,"Jayapal, Pramila [Rep.-D-WA-7]",3/22/23,"Referred to the Committee on Financial Services, and in addition to the Committees on House Administration, the Judiciary, Education and the Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3/22/23,Housing and Community Development,Home and outpatient care,"Elections, voting, political campaign regulation",Food assistance and relief,Advisory bodies,Building construction,Government information and archives,Housing and community development funding,Public housing,Health care coverage and access,Housing for the elderly and disabled,Libraries and archives,State and local government operations,Water use and supply,Housing supply and affordability,Residential rehabilitation and home repair,Sales and excise taxes,Landlord and tenant,Low- and moderate-income housing,Criminal procedure and sentencing,Law enforcement administration and funding,Housing finance and home ownership,Housing discrimination,Climate change and greenhouse gases,Air quality,Voting rights,Licensing and registrations,Homelessness and emergency shelter,Government studies and investigations,Alternative and renewable resources,Energy efficiency and conservation,Crime prevention,Property tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6031,https://www.congress.gov/bill/118th-congress/house-bill/6031,118th Congress (2023-2024),Safe Schools Improvement Act,,"Sánchez, Linda T. [Rep.-D-CA-38]",10/24/23,Referred to the House Committee on Education and the Workforce.,10/25/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 640,https://www.congress.gov/bill/118th-congress/house-resolution/640,118th Congress (2023-2024),Addressing the national crisis of suicide among minority adolescents.,,"Espaillat, Adriano [Rep.-D-NY-13]",8/1/23,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8/1/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
