,match_no_punct,def_no_punct
104,sex means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
105,biological sex means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
106,biological woman means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
107,orientation means,  r  sexual orientation means homosexuality heterosexuality or bisexuality
108,sex includes,a showing that the covered entity has exercised reasonable care to promptly prevent and correct the effects of any harassment based on sex includes a demonstration by the covered entity that it has--(i established adequately publicized and enforced an effective and comprehensive harassment prevention policy and complaint procedure that is likely to provide redress and avoid harm without exposing the person subjected to the harassment to undue risk effort or expense;(ii if requested by the aggrieved person or otherwise deemed necessary to protect the aggrieved person or other persons within the program or activity from a significant ongoing threat undertaken a prompt thorough and impartial investigation unless the allegations are patently frivolous;(iii provided supportive measures that had the purpose and effect of preserving and restoring the aggrieved person s equal access to the education program or activity regardless of whether the aggrieved person requested an investigation and(iv after receiving notice taken other necessary immediate and appropriate corrective action designed to stop the harassment that occurred and correct its effects regardless of whether the aggrieved person experienced subsequent harassment .(b
109,female circumcision means,  51 female genital mutilation.--the terms  female genital mutilation  female genital cutting  fgm c or  female circumcision means the intentional removal or infibulation or both of either the whole or part of the external female genitalia for non medical reasons
110,female genitalia includes,external female genitalia includes the pubis labia minora labia majora clitoris and urethral and vaginal openings
111,sex trafficking means,in general.--the term  sex trafficking means conduct--(i consisting of--(i recruiting enticing harboring transporting providing obtaining advertising maintaining patronizing or soliciting by any means a person or(ii benefitting financially or by receiving anything of value from participation in a venture that has engaged in an act described in subclause i and(ii carried out with the knowledge or except where the act constituting the violation of clause i is advertising in reckless disregard of the fact that--(i means of force threats of force fraud coercion or any combination of such means will be used to cause the person to engage in a commercial sex act or(ii the person has not attained the age of 18 years and will be caused to engage in a commercial sex act
112,gender analysis--(a means,gender analysis.--the term   gender analysis--(a means a socioeconomic analysis of available or gathered quantitative and qualitative information to identify understand and explain gaps between men and women which typically involves examining--(i differences in the status of women and men and differential access to and control over assets resources education opportunities and services;(ii the influence of gender roles structural barriers and norms on the division of time between paid unpaid work including the subsistence production and care for family members and volunteer activities;(iii the influence of gender roles structural barriers and norms on leadership roles and decision making constraints opportunities and entry points for narrowing gender gaps and empowering women and(iv potential differential impacts of development policies and programs on men and women including unintended or negative consequences and(b includes conclusions and recommendations to enable development policies and programs--(i to narrow gender gaps and(ii to improve the lives of women and girls.(5 office.--the term   office means the office of global women s issues established by the secretary of state pursuant to section 202(a).(6
113,orientation includes,an explicit and comprehensive national solution is needed to address this discrimination including the full range of remedies available under the civil rights act of 1964.(12 discrimination based on sexual orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
114,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
115,orientation means,  5 sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
116,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
117,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
118,gender transition means,gender transition.--the term  gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
119,gender transition surgery means,in general.--the term  gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
120,-sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
121,sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
122,cross sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
123,sex means,biological sex.--the term   biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
124,biological sex means,biological sex.--the term   biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
125,gender identity means,gender identity.--the term   gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
126,gender transition includes,in general.--the term   gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
127,gender identity means,gender identity.--the term   gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(4
128,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
129,gender equity infrastructure means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
130,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality.(9
131,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex of the individual at birth.(5 religion sex including sexual orientation and gender identity or marital status.--the term   religion sex including sexual orientation and gender identity or marital status used with respect to an individual includes--(a the religion sex including sexual orientation and gender identity or marital status respectively of another person with whom the individual is or has been associated and(b a perception or belief even if inaccurate concerning the religion sex including sexual orientation and gender identity or marital status respectively of the individual.(6 secretary.--the term   secretary means the secretary of health and human services.(7
132,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality.(9 state.--the term   state means each of the 50 states of the united states the district of columbia the commonwealth of puerto rico the united states virgin islands guam the commonwealth of the northern mariana islands and american samoa
133,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
134,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality
135,sex means,biological sex.--the term  biological sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
136,biological sex means,biological sex.--the term  biological sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
137,gender identity means,gender identity.--the term  gender identity means a person s self perceived identity self concept or asserted gender regardless of the person s biological sex
138,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(5
139,orientation means,sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
140,gender expression means,gender expression.--the term   gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
141,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
142,sex education means,sex education.--the term   sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
143,orientation means,sexual orientation.--the term   sexual orientation means an individual s romantic emotional or sexual attraction to other people.(19
144,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
145,orientation means,member of a vulnerable group.--the term   member of a vulnerable group means an alien who--(a is younger than 21 years of age or older than 60 years of age;(b is pregnant;(c identifies as lesbian gay bisexual transgender or intersex;(d is victim or witness of a crime;(e has filed a nonfrivolous civil rights claim in federal or state court;(f has a serious mental or physical illness or disability;(g has been determined by an asylum officer in an interview conducted under section 235(b)(1)(b of the immigration and nationality act 8 u.s.c. 1225(b)(1)(b to have a credible fear of persecution or(h has been determined by an immigration judge or by the secretary of homeland security based on information obtained during intake from the alien s attorney or legal service provider or through credible self reporting to be--(i experiencing severe trauma or(ii a survivor of torture or gender based violence.(5 sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
146,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
147,orientation means,sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
148,gender harassment which includes,"according to the report issued by the national academies of sciences engineering and medicine in 2018 entitled   sexual harassment of women climate culture and consequences in academic sciences engineering and medicine--(a sexual harassment is pervasive in institutions of higher education;(b the most common type of sexual harassment is gender harassment which includes verbal and nonverbal behaviors that convey insulting hostile and degrading attitudes about members of one gender;(c 58 percent of employees in the academic workplace experience sexual harassment the second highest rate when compared to the military the private sector and federal state and local government;(d women of color are more likely to experience sexual harassment and to feel unsafe at work than white women white men or men of color;(e the training for each individual who has a doctor of philosophy in the science technology engineering and mathematics fields is estimated to cost approximately $ 500,000 and(f attrition of an individual so trained results in a loss of talent and money.(2 sexual harassment undermines career advancement for women.(3"
149,gender identity--(a means,908a. definitions.for purposes of this title--(1 the term  gender identity--(a means a person s internal sense of gender which could be female male or another gender;(b includes a person s gender expression which is how they present their gender identity outwardly including through appearance mannerisms dress or other gender related characteristics and(c may or may not match their designated sex at birth;(2 the term  on the basis of sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
150,sex includes,908a. definitions.for purposes of this title--(1 the term  gender identity--(a means a person s internal sense of gender which could be female male or another gender;(b includes a person s gender expression which is how they present their gender identity outwardly including through appearance mannerisms dress or other gender related characteristics and(c may or may not match their designated sex at birth;(2 the term  on the basis of sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
151,sex based harassment--(a means,the term  recipient means an entity described in any of paragraphs 1 through 4 of section 908 and includes any entity that exercises controlling authority over such recipient;(4 the term  sex based harassment--(a means conduct on the basis of sex including conduct of a sexual nature that unreasonably alters a person s ability to participate in or receive any benefit service or opportunity from an education program or activity that receives federal financial assistance including by creating an intimidating hostile or offensive environment and(b includes an employee agent or other person authorized by the recipient to provide an aid benefit or service under the recipient s education program or activity explicitly or impliedly conditioning the provision of such an aid benefit or service on a person s participation in sexual conduct and(5 the term  sexual orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
152,orientation includes,the term  recipient means an entity described in any of paragraphs 1 through 4 of section 908 and includes any entity that exercises controlling authority over such recipient;(4 the term  sex based harassment--(a means conduct on the basis of sex including conduct of a sexual nature that unreasonably alters a person s ability to participate in or receive any benefit service or opportunity from an education program or activity that receives federal financial assistance including by creating an intimidating hostile or offensive environment and(b includes an employee agent or other person authorized by the recipient to provide an aid benefit or service under the recipient s education program or activity explicitly or impliedly conditioning the provision of such an aid benefit or service on a person s participation in sexual conduct and(5 the term  sexual orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
153,sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
154,biological sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
155,sex selection abortion means,  h definitions.--in this section--(1 the term  abortion means the act of using or prescribing any instrument medicine drug or any other substance device or means with the intent to--(a kill the unborn child of a woman known to be pregnant or(b terminate the pregnancy of a woman known to be pregnant with an intention other than--(i after viability to produce a live birth and preserve the life and health of the child born alive or(ii to remove a dead unborn child and(2 the term  sex selection abortion means an abortion undertaken for purposes of eliminating an unborn child of an undesired sex .(b
156,gender expression means,gender expression.--the term   gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
157,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
158,sex education means,sex education.--the term   sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex education initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
159,orientation means,sexual orientation.--the term   sexual orientation means an individual s romantic emotional or sexual attraction to other people.(19
160,sexuality education means,community organization.--the term   community organization means a public health care facility or a nonprofit organization that provides health- or sti related services according to established public health standards.(2 comprehensive sexuality education.--the term   comprehensive sexuality education means sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
161,sexuality education--(a that includes,community organization.--the term   community organization means a public health care facility or a nonprofit organization that provides health- or sti related services according to established public health standards.(2 comprehensive sexuality education.--the term   comprehensive sexuality education means sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
162,gender identity means,in general.--not later than 120 days after the date of enactment of this act the director of the centers for disease control and prevention shall take measures to improve the incidence of the collection of information on the sexual orientation and gender identity of deceased individuals through the national violent death reporting system or any successor programs.(b confidentiality.--any information collected relating to the sexual orientation or gender identity of a decedent shall be maintained in accordance with the confidentiality and privacy standards and policies for the protection of individuals applicable to all other data collected for purposes of the national violent death reporting system.(2 definitions.--in this subsection:(a gender identity.--the term   gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(b
163,orientation means,"sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(3 authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2023 to carry out this subsection.(b sense of congress.--it is the sense of congress that--(1 the centers for disease control and prevention has made significant efforts to encourage states and other jurisdictions to collect data on sexual orientation and gender identity through the national violent death reporting system and(2 jurisdictions that participate in the collection of such data through the national violent death reporting system should be commended for their participation"
164,orientation means,  r  sexual orientation means homosexuality heterosexuality or bisexuality
165,sex means,biological sex.--the term  biological sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
166,biological sex means,biological sex.--the term  biological sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
167,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
168,gender transition means,gender transition.--the term  gender transition means the process in which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
169,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service including physician s services inpatient and outpatient hospital services or prescribed drugs related to gender transition that seek to alter or remove physical or anatomical characteristics or features that are typical for an individual s biological sex or to instill or create physiological or anatomical characteristics that resemble a sex different from an individual s birth sex including without limitation medical services that provide puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex or genital gender transition surgery or nongenital gender transition surgery performed for the purpose of assisting an individual with a gender transition
170,gender transition surgery means,in general.--the term  gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for an individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from an individual s birth sex including without limitation genital gender reassignment surgery or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition
171,gender transition surgery includes,genital gender transition surgery.--the term  genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition
172,gender transition surgery means,  8) non genital gender transition surgery.--the term  non genital gender transition surgery means surgical procedures including augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or other aesthetic procedures for biologically male patients or subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or other aesthetic procedures for biologically female patients when performed for the purpose of assisting an individual with a gender transition
173,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(6
174,gender equity infrastructure means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(6
175,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality.(9
176,orientation includes,an explicit and comprehensive national solution is needed to address this discrimination including the full range of remedies available under the civil rights act of 1964.(12 discrimination based on sexual orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
177,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
178,orientation means,  5 sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
179,gender affirming care means,in general.--for purposes of this chapter except as provided in subparagraph b the term  gender affirming care means with respect to an individual any of the following:(i
180,sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
181,biological sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
182,sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
183,biological sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
184,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
185,orientation means,  5 sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
186,sex means,biological sex.--the term   biological sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
187,biological sex means,biological sex.--the term   biological sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
188,gender identity means,gender identity.--the term   gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
189,gender transition includes,in general.--the term   gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical hormonal or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
190,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerism or other gender related characteristic of an individual regardless of the designated sex at birth of the individual.(5 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
191,orientation means,gender identity.--the term   gender identity means the gender related identity appearance mannerism or other gender related characteristic of an individual regardless of the designated sex at birth of the individual.(5 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
192,sex characteristics--(a means,survey.--the term   survey means a data collection activity involving a questionnaire for a sample of a population and includes the decennial census.(7 variations in sex characteristics.--the term   variations in sex characteristics--(a means a physical trait present at birth or naturally occurring at a later time including genitals gonads hormone function and chromosome patterns that differ from normative expectations for male or female bodies regarding the development appearance or function of sex related characteristics and(b is sometimes referred to as intersex traits
193,sex means,biological sex.--the term   biological sex means the biological indicators of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender.(2
