,train
123,The term sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
124,The term biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
125,The term gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
126,The term gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
127,The term gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(4
128,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
129,The term gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
130,The term orientation means homosexuality heterosexuality or bisexuality.(9
131,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex of the individual at birth.(5 religion sex including sexual orientation and gender identity or marital status.--the term   religion sex including sexual orientation and gender identity or marital status used with respect to an individual includes--(a the religion sex including sexual orientation and gender identity or marital status respectively of another person with whom the individual is or has been associated and(b a perception or belief even if inaccurate concerning the religion sex including sexual orientation and gender identity or marital status respectively of the individual.(6 secretary.--the term   secretary means the secretary of health and human services.(7
132,The term orientation means homosexuality heterosexuality or bisexuality.(9 state.--the term   state means each of the 50 states of the united states the district of columbia the commonwealth of puerto rico the united states virgin islands guam the commonwealth of the northern mariana islands and american samoa
133,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
134,The term orientation means homosexuality heterosexuality or bisexuality
135,The term sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
136,The term biological sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
137,The term gender identity means a person s self perceived identity self concept or asserted gender regardless of the person s biological sex
138,The term gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(5
139,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
140,The term gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
141,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
142,The term sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
143,The term orientation means an individual s romantic emotional or sexual attraction to other people.(19
144,The term gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
145,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
146,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
147,The term orientation means homosexuality heterosexuality or bisexuality
148,"The term gender harassment which includes verbal and nonverbal behaviors that convey insulting hostile and degrading attitudes about members of one gender;(c 58 percent of employees in the academic workplace experience sexual harassment the second highest rate when compared to the military the private sector and federal state and local government;(d women of color are more likely to experience sexual harassment and to feel unsafe at work than white women white men or men of color;(e the training for each individual who has a doctor of philosophy in the science technology engineering and mathematics fields is estimated to cost approximately $ 500,000 and(f attrition of an individual so trained results in a loss of talent and money.(2 sexual harassment undermines career advancement for women.(3"
149,The term gender identity--(a means a person s internal sense of gender which could be female male or another gender;(b includes a person s gender expression which is how they present their gender identity outwardly including through appearance mannerisms dress or other gender related characteristics and(c may or may not match their designated sex at birth;(2 the term  on the basis of sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
150,The term sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
151,The term sex based harassment--(a means conduct on the basis of sex including conduct of a sexual nature that unreasonably alters a person s ability to participate in or receive any benefit service or opportunity from an education program or activity that receives federal financial assistance including by creating an intimidating hostile or offensive environment and(b includes an employee agent or other person authorized by the recipient to provide an aid benefit or service under the recipient s education program or activity explicitly or impliedly conditioning the provision of such an aid benefit or service on a person s participation in sexual conduct and(5 the term  sexual orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
152,The term orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
153,The term sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
154,The term biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
155,The term sex selection abortion means an abortion undertaken for purposes of eliminating an unborn child of an undesired sex .(b
156,The term gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
157,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
158,The term sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex education initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
159,The term orientation means an individual s romantic emotional or sexual attraction to other people.(19
160,The term sexuality education means sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
161,The term sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
162,The term gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(b
163,"The term orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(3 authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2023 to carry out this subsection.(b sense of congress.--it is the sense of congress that--(1 the centers for disease control and prevention has made significant efforts to encourage states and other jurisdictions to collect data on sexual orientation and gender identity through the national violent death reporting system and(2 jurisdictions that participate in the collection of such data through the national violent death reporting system should be commended for their participation"
164,The term orientation means homosexuality heterosexuality or bisexuality
165,The term sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
166,The term biological sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
167,The term gender means the psychological behavioral social and cultural aspects of being male or female
168,The term gender transition means the process in which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
169,The term gender transition procedure means any medical or surgical service including physician s services inpatient and outpatient hospital services or prescribed drugs related to gender transition that seek to alter or remove physical or anatomical characteristics or features that are typical for an individual s biological sex or to instill or create physiological or anatomical characteristics that resemble a sex different from an individual s birth sex including without limitation medical services that provide puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex or genital gender transition surgery or nongenital gender transition surgery performed for the purpose of assisting an individual with a gender transition
170,The term gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for an individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from an individual s birth sex including without limitation genital gender reassignment surgery or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition
171,The term gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition
172,The term gender transition surgery means surgical procedures including augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or other aesthetic procedures for biologically male patients or subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or other aesthetic procedures for biologically female patients when performed for the purpose of assisting an individual with a gender transition
173,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(6
174,The term gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(6
175,The term orientation means homosexuality heterosexuality or bisexuality.(9
176,The term orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
177,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
178,The term orientation means homosexuality heterosexuality or bisexuality
179,The term gender affirming care means with respect to an individual any of the following:(i
180,The term sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
181,The term biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
182,The term sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
183,The term biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
184,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
185,The term orientation means homosexuality heterosexuality or bisexuality
186,The term sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
187,The term biological sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
188,The term gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
189,The term gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical hormonal or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
190,The term gender identity means the gender related identity appearance mannerism or other gender related characteristic of an individual regardless of the designated sex at birth of the individual.(5 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
191,The term orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
192,The term sex characteristics--(a means a physical trait present at birth or naturally occurring at a later time including genitals gonads hormone function and chromosome patterns that differ from normative expectations for male or female bodies regarding the development appearance or function of sex related characteristics and(b is sometimes referred to as intersex traits
193,The term sex means the biological indicators of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender.(2
194,The term biological sex means the biological indicators of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender.(2
195,The term gender means the psychological behavioral social and cultural aspects of being male or female.(3 school employee.--the term   school employee includes--(a a teacher substitute teacher school administrator school superintendent guidance counselor psychologist social worker nurse physician school paraprofessional or coach employed by a public elementary or secondary school or local educational agency in a state;(b an individual associated with the administration or financing of an extracurricular activity hosted by or at a public elementary or secondary school or(c any other individual who in the performance of his or her duties has regular contact with students under the age of 18 years old and who provides services to or on behalf of such students enrolled in a public elementary or secondary school pursuant to a contract with the public elementary or secondary school state educational agency or local educational agency.(4 state.--the term   state means each of the several states the district of columbia and any commonwealth territory or possession of the united states
196,The term gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as the presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
197,The term gender means the psychological behavioral social and cultural aspects of being male or female
198,The term gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
199,The term gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
200,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
201,The term sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
202,The term cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
203,The term sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
204,The term biological sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
205,The term gender identity means an individual s perception of their own gender or claimed gender regardless of the biological sex of the individual.(5 lesson.--the term   lesson means a planned and structured period of learning.(6 secretary.--the term   secretary means the secretary of education.(7
206,The term orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
207,The term transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
208,The term transgender studies means the study of transgender individuals
209,The term gender affirming care means with respect to an individual any of the following:(i
210,The term sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
211,The term biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
212,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
213,The term sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
214,The term cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
215,The term gender means the psychological behavioral social and cultural aspects of being male or female.(3
216,The term gender dysphoria means a marked incongruence between one s experienced or expressed gender and biological sex.(4 gender transition.--the term   gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
217,The term gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
218,The term gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
219,The term gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
220,The term gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
221,The term gender of an individual means the biological classification of the individual as of the male or female sex in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth
222,The term sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
223,The term biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
224,The term gender means the psychological behavioral social and cultural aspects of being male or female
225,The term gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
226,The term gender transition procedure means any medical or surgical service that seeks--(i to alter or remove physical or anatomical characteristics or features that are typical for the individual s biological sex or(ii to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
227,The term gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
228,The term gender transition surgery includes genital gender transition surgery and non genital gender transition surgery
229,The term gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients a penectomy orchiectomy vaginoplasty clitoroplasty and vulvoplasty and(b for biologically female patients a hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty and implantation of erection or testicular prostheses
230,The term gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants lipofilling hair reconstruction and various aesthetic procedures and(b for biologically female patients subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants and various aesthetic procedures
231,The term gender neutral language means language that expressly or implicitly refers to all genders without distinction between such genders and does not expressly or implicitly refer to a gender to the real or apparent exclusion of any other gender
232,The term sex means the indication of male or female based solely an individual s reproductive biology and genetics at birth such as sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia without regard to an individual s psychological chosen or subjective identity
233,The term sex includes but is not limited to discrimination on the basis of   pregnancy childbirth or related medical conditions .(13
234,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
235,The term orientation means an individual s actual or perceived romantic physical or sexual attraction to other persons or lack thereof that includes heterosexuality homosexuality and bisexuality
236,The term orientation includes homosexuality heterosexuality and bisexuality
237,The term orientation means homosexuality heterosexuality or bisexuality ;(2 in section 804 by inserting   including sexual orientation and gender identity
238,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
239,The term orientation means homosexuality heterosexuality or bisexuality
240,The term gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4
241,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
242,The term gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
243,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
